"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"PINHD-1X4";"1X04";"JP1";"PIN HEADER";"";
"25";".1uF";"C-EUC0603";"C0603";"C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C23, C24, C25, C26, C27, C28, C30, C31, C32, C33, C34";"CAPACITOR, European symbol";"";
"2";"1-1123723-4";"1-1123723-4";"TE_1-1123723-4";"J1, J2";"Conn Wire to Board HDR 4 POS 3.96mm Solder ST Thru-Hole Automotive Bag";"";
"2";"1-1123723-6";"1-1123723-6";"TE_1-1123723-6";"J3, J4";"CONN HEADER .156 VERT 6POS TIN";"";
"2";"100";"R-US_R0603";"R0603";"R50, R55";"RESISTOR, American symbol";"";
"16";"10k";"R-US_R0603";"R0603";"R1, R3, R5, R7, R9, R11, R26, R33, R34, R37, R44, R48, R49, R53, R54, R58";"RESISTOR, American symbol";"";
"1";"1546551-2";"1546551-2";"TE_1546551-2";"J5";"";"";
"13";"1k";"R-US_R0603";"R0603";"R20, R21, R31, R32, R35, R36, R38, R39, R42, R51, R52, R56, R57";"RESISTOR, American symbol";"";
"5";"1uF";"C-EUC0603";"C0603";"C35, C36, C37, C38, C39";"CAPACITOR, European symbol";"";
"2";"2.2uF";"C-EUC0603";"C0603";"C18, C19";"CAPACITOR, European symbol";"";
"14";"2k";"R-US_R0603";"R0603";"R13, R14, R15, R16, R17, R18, R22, R24, R27, R28, R29, R30, R45, R47";"RESISTOR, American symbol";"";
"14";"330";"R-US_R0603";"R0603";"R2, R4, R6, R8, R10, R12, R43, R46, R59, R60, R61, R62, R63, R64";"RESISTOR, American symbol";"";
"3";"4.7k";"R-US_R0603";"R0603";"R19, R23, R41";"RESISTOR, American symbol";"";
"2";"470";"R-US_R0603";"R0603";"R25, R40";"RESISTOR, American symbol";"";
"2";"5499923-1";"5499923-1";"TE_5499923-1";"J6, J7";"A/L UNIV HDR 20P VERT LG LAT";"";
"1";"7447709680";"7447709680";"7447709101";"L1";"";"";
"1";"ADUM1200ARZ";"ADUM1200ARZ";"SOIC127P600X175-8N";"IC1";"Analog Devices ADUM1200ARZ PCB SMT 2-channel Digital Isolator, 2500 V, 8-Pin SOIC";"";
"2";"ADUM1201ARZ-RL7";"ADUM1201ARZ-RL7";"SOIC127P600X175-8N";"IC5, IC6";"Digital Isolators Digital Dual-CH";"";
"4";"AM26C31MDREP";"AM26C31MDREP";"D16";"U3, U4, U5, U10";"";"";
"3";"AUIRF7341QTR";"AUIRF7341QTR";"SOIC127P600X168-9N";"P1, P2, P3";"";"";
